Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Settlement_type,Buy_sell,Execution_venue,Trade_status,Trade_capture_stp,Settlement_status,Legal_entity,Portfolio_strategy,Index_name,Index_cur_level,Contract_size,Number_of_contracts,Contract_amount,Option_type,Strike_price,Premium,Expiry_date,Style,Initial Margin,Settlement_stp,Fees_commission,Stock_name,Stock_cur_price,Contract_code,Index_fut_level,Maturity_date_fut,Stock_fut_price,Notional,Floating_cur_int_rate,Near_leg_date,Far_leg_date,Floating_fut_int_rate,Swap_points
EQD0001,FrontArena,09-Sep-2025,09-Sep-2025,09-Sep-2025,Y,11-Oct-2025,CUST000001,Paige Murray Pvt Ltd Company,OTC,Justin Drake Mutual Fund,Equity-HK,Derivatives,IndOptions,Cash,Sell,MTF,New,Y,Y,BKUS,Passive,Dow Jones Industrial Average (DJIA) ,46000.0,50.0,246.0,565800000.0,Put,42927.2509,20984725.89,09-Oct-2025,American,12137226.78,Y,2829000.0,,,,,,,,,,,,
EQD0002,Sophis,19-Sep-2024,19-Sep-2024,19-Sep-2024,Y,21-Oct-2024,CUST000002,Mr Daniel Watson Banking Ltd,OTC,Rishi Sachdeva Non-Banking Fin Co,Forex-LON,Derivatives,IndOptions,Physical,Buy,MTF,New,Y,Y,BKUS,Passive,S&P SmallCap 600,1900.0,250.0,273.0,129675000.0,Put,1730.8251,1342288.72,19-Oct-2024,European,3454053.96,Y,648375.0,,,,,,,,,,,,
EQD0003,Summit,06-Nov-2025,06-Nov-2025,06-Nov-2025,Y,08-May-2026,CUST000003,Jennifer Fischer Pub Ltd Company,Broker,Jonathan Harmon Brokers Ltd,Credit-NY,Derivatives,EqOptions,Physical,Sell,OTC,New,Y,N,BKUS,Passive,,,200.0,247.0,23629008.0,Call,474.4012,1134373.94,06-May-2026,European,1125311.19,Y,236290.08,Microsoft Corp (MSFT),478.32,,,,,,,,,,
EQD0004,Sophis,13-Nov-2025,13-Nov-2025,13-Nov-2025,Y,15-May-2026,CUST000004,Jesse Cole Mutual Fund,CCP,Harini Luthra Banking Ltd,Equity-LON,Derivatives,IndFutures,Physical,Sell,MTF,New,Y,N,BKUS,Diversify,Dow Jones Transportation Average ,22500.0,250.0,298.0,1676250000.0,,,,,,55989923.21,Y,8381250.0,,,INDF0004,24481.339516541793,13-May-2026,,,,,,,
EQD0005,Bacardi,04-Nov-2025,04-Nov-2025,04-Nov-2025,Y,06-Nov-2028,CUST000005,Mohammad Bennett Pvt Ltd Company,Broker,Maya Nagy Pvt Ltd Company,Credit-LON,Derivatives,IndFutures,Cash,Sell,MTF,New,Y,N,BKUS,Passive,S&P Global 1200,8500.0,200.0,222.0,377400000.0,,,,,,12833936.98,Y,3774000.0,,,INDF0005,7791.817419344925,04-Nov-2028,,,,,,,
EQD0006,FusionCap,20-Jun-2024,20-Jun-2024,20-Jun-2024,Y,22-Jun-2027,CUST000006,Tracy Curtis Pub Ltd Company,CCP,Nathan Shanker Banking Ltd,Forex-LON,Derivatives,EqOptions,Cash,Buy,MTF,New,Y,N,BKUS,Diversify,,,200.0,126.0,8006039.999999999,Call,306.1785,109750.82,20-Jun-2027,American,266300.0,Y,40030.2,Alphabet Inc Class C (GOOG),317.7,,,,,,,,,,
EQD0007,FusionCap,07-Nov-2025,07-Nov-2025,07-Nov-2025,Y,09-Dec-2025,CUST000007,Matthew Mcbride Pub Ltd Company,CCP,William Benjamin Pub Ltd Company,Forex-LON,Derivatives,IndFutures,Physical,Sell,MTF,Amended,Y,N,BKUS,Active,S&P SmallCap 600,1900.0,150.0,117.0,33345000.0,,,,,,1613610.76,Y,333450.0,,,INDF0007,1686.6884602910593,07-Dec-2025,,,,,,,
EQD0008,Sophis,28-Nov-2025,28-Nov-2025,28-Nov-2025,Y,02-Mar-2026,CUST000008,Valerie Lewis Pvt Ltd Company,OTC,Mrs Joanne Simpson Non-Banking Fin Co,Forex-LON,Derivatives,IndOptions,Physical,Buy,OTC,New,N,N,BKUS,Active,Russell 1000,6000.0,100.0,164.0,98400000.0,Put,6675.801,2192895.09,28-Feb-2026,European,3693909.13,Y,984000.0,,,,,,,,,,,,
EQD0009,FrontArena,28-Feb-2024,28-Feb-2024,28-Feb-2024,Y,02-Mar-2026,CUST000009,William Srinivas Mutual Fund,CCP,Curtis Gilbert Non-Banking Fin Co,FixedIncome-NY,Derivatives,IndOptions,Cash,Sell,MTF,New,Y,N,BKUS,Passive,Russell 2000 ,3100.0,200.0,141.0,87420000.0,Call,2671.9019,1156399.63,28-Feb-2026,American,3157740.42,Y,437100.0,,,,,,,,,,,,
EQD0010,Summit,26-Nov-2025,26-Nov-2025,26-Nov-2025,Y,28-Nov-2028,CUST000010,Kristi Butler Mutual Fund,CCP,Kevin Elliott Banking Ltd,Equity-LON,Derivatives,EqOptions,Cash,Buy,MTF,Cancelled,Y,N,BKUS,Passive,,,150.0,164.0,15836250.0,Call,575.6669,398096.78,26-Nov-2028,European,580951.74,Y,158362.5,"Meta Platforms, Inc. (META)",643.75,,,,,,,,,,
