Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Currency_pair,Base_currency,Quote_currency,Exchange_rate,Base_amount,Quote_amount,Base_amount_usd,Buy_sell,Settlement_date,Fees_commission,Execution_venue,Trade_status,Trade_capture_stp,Settlement_status,Legal_entity,Portfolio_strategy,Near_leg_date,Far_leg_date,Near_leg_rate,Far_leg_rate,Near_leg_amount,Far_leg_amount,Swap_points,Settlement_type,Settlement_stp,forward rate,Maturity_date_fwd,Option_type,Strike_price,Premium,Expiry_date,Style,Contract_code,Contract_size,futures_rate,Maturity_date_fut,Number_of_contracts,Initial Margin
FXS0001,Summit,07-Jul-2023,07-Jul-2023,07-Jul-2023,Y,CUST000001,Christina Cox Non-Banking Fin Co,Broker,Sara Ferguson Pub Ltd Company,FixedIncome-LON,Derivatives,FxSwaps,ZAR/CNY,ZAR,CNY,0.3947,6905084437.18,2725628726.99,386684728.48,Sell,09-Aug-2023,69050844.37,OTC,New,Y,Y,BKUS,Active,07-Jul-2023,07-Aug-2023,0.3947,0.4334,6905084437.18,2992436065.54,0.0386,Cash,Y,,,,,,,,,,,,,
FXS0002,Summit,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,CUST000002,Carolyn Young Finance Company,Broker,Christopher Howard Banking Ltd,Forex-LON,Derivatives,FxSwaps,USD/GBP,USD,GBP,0.8195,461951957.02,378581772.51,461951957.02,Buy,07-May-2026,2309759.79,OTC,New,Y,N,BKUS,Rebalance,05-Nov-2025,05-May-2026,0.8195,0.8605,461951957.02,397488036.51,0.0409,Cash,Y,,,,,,,,,,,,,
FXS0003,Sophis,02-Dec-2025,02-Dec-2025,02-Dec-2025,Y,CUST000003,Joshua Das Pvt Ltd Company,Broker,Amanda Woods Non-Banking Fin Co,Forex-NY,Derivatives,FxSwaps,DKK/AUD,DKK,AUD,0.2181,6011063328.54,1311081394.26,901659499.28,Sell,04-Dec-2027,30055316.64,OTC,New,Y,N,BKUS,Diversify,02-Dec-2025,02-Dec-2027,0.2181,0.222,6011063328.54,1334374171.95,0.0039,Cash,Y,,,,,,,,,,,,,
FXS0004,FrontArena,06-Nov-2025,06-Nov-2025,06-Nov-2025,Y,CUST000004,Vanessa Tran Pub Ltd Company,OTC,Mrs. Cassandra Wood Finance Company,Forex-LON,Derivatives,FxForwards,EGP/VEF,EGP,VEF,0.2446,6809221451.19,1665685109.35,142993650.47,Buy,08-May-2026,68092214.51,OTC,New,Y,N,BKUS,Diversify,,,,,,,,Physical,Y,0.2812,06-May-2026,,,,,,,,,,,
FXS0005,Murex,04-Dec-2025,04-Dec-2025,04-Dec-2025,Y,CUST000005,Dr Lesley Hussain Non-Banking Fin Co,OTC,Malcolm Price Non-Banking Fin Co,FixedIncome-HK,Derivatives,FxSwaps,SGD/DKK,SGD,DKK,4.902,512540882.66,2512485029.18,399781888.48,Sell,06-Jan-2026,5125408.83,OTC,New,Y,N,BKUS,Rebalance,04-Dec-2025,04-Jan-2026,4.902,4.8765,512540882.66,2499415697.91,-0.0255,Cash,Y,,,,,,,,,,,,,
FXS0006,Sophis,03-Nov-2025,03-Nov-2025,03-Nov-2025,Y,CUST000006,Viraj Venkatesh Banking Ltd,Broker,Garima Gola Banking Ltd,Equity-LON,Derivatives,FxSwaps,ZAR/USD,ZAR,USD,0.054,9435320425.86,509192543.37,528377943.85,Buy,05-May-2026,47176602.13,OTC,New,Y,N,BKUS,Diversify,03-Nov-2025,03-May-2026,0.054,0.0444,9435320425.86,418697779.54,-0.0096,Cash,Y,,,,,,,,,,,,,
FXS0007,Murex,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,CUST000007,Erin Calderon Pvt Ltd Company,OTC,Upasna Saini Pvt Ltd Company,Forex-LON,Derivatives,FxForwards,SGD/GBP,SGD,GBP,0.5334,461994360.89,246444185.28,360355601.5,Sell,07-Dec-2025,2309971.8,OTC,New,N,N,BKUS,Active,,,,,,,,Physical,Y,0.6123,05-Dec-2025,,,,,,,,,,,
FXS0008,Murex,02-Feb-2023,02-Feb-2023,02-Feb-2023,Y,CUST000008,Stacey Cameron Brokers Ltd,OTC,Pranit Gour Pub Ltd Company,Credit-NY,Derivatives,FxSwaps,VEF/SGD,VEF,SGD,0.1147,2017287909.63,231316092.24,161383032.77,Buy,04-Aug-2023,10086439.55,OTC,New,N,Y,BKUS,Rebalance,02-Feb-2023,02-Aug-2023,0.1147,0.1339,2017287909.63,270051925.98,0.0192,Cash,Y,,,,,,,,,,,,,
FXS0009,FrontArena,05-Nov-2025,05-Nov-2025,05-Nov-2025,Y,CUST000009,Noah Jones Banking Ltd,OTC,Katherine Proctor Banking Ltd,FixedIncome-LON,Derivatives,FxOptions,DKK/SGD,DKK,SGD,0.2116,5167638631.51,1093720064.59,775145794.73,Buy,07-Dec-2025,51676386.32,OTC,New,Y,N,BKUS,Rebalance,,,,,,,,Cash,N,,,Call,0.1899,171733132.12281328,05-Dec-2025,American,,,,,,
FXS0010,FrontArena,05-Dec-2025,05-Dec-2025,05-Dec-2025,Y,CUST000010,Eshana Pandya Pub Ltd Company,Broker,Priya Kalita Mutual Fund,FixedIncome-NY,Derivatives,FxSwaps,VEF/ZAR,VEF,ZAR,1.236,4410983984.68,5451968185.69,352878718.77,Buy,07-Mar-2026,44109839.85,OTC,New,Y,N,BKUS,Diversify,05-Dec-2025,05-Mar-2026,1.236,1.4262,4410983984.68,6291086929.47,0.1902,Cash,Y,,,,,,,,,,,,,
