Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Buy_sell,Trade_quantity,Trade_currency,Price,Gross_amount,Gross_amount_USD,Net_amount,Fees_commission,Execution_venue,Order_type,Trade_status,Settlement_status,Settlement_type,Trade_capture_stp,Settlement_stp,Legal_entity,Portfolio_strategy
EQT0001,Bloomberg,25-Nov-2025,25-Nov-2025,25-Nov-2025,Y,27-Nov-2025,CUST000001,Liam Chaudry Non-Banking Fin Co,Broker,Pahal Balay Non-Banking Fin Co,FixedIncome-NY,Equity,Cash Equity,Buy,433283,SGD,235.68,102116404.14,79650795.23,102116404.14,510582.02,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0002,Kondorplus,21-Nov-2025,21-Nov-2025,21-Nov-2025,Y,23-Nov-2025,CUST000002,Yashasvi Bala Non-Banking Fin Co,CCP,Oni Kannan Pub Ltd Company,Credit-HK,Equity,Cash Equity,Buy,243175,USD,295.06,71750440.59,71750440.59,71750440.59,717504.41,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0003,Bacardi,28-Apr-2025,28-Apr-2025,28-Apr-2025,Y,30-Apr-2025,CUST000003,Pahal Oak Brokers Ltd,CCP,Daniel Gallagher Pub Ltd Company,Forex-HK,Equity,Cash Equity,Buy,83360,USD,451.05,37599309.77,37599309.77,37599309.77,187996.55,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0004,Bloomberg,18-Oct-2023,18-Oct-2023,18-Oct-2023,Y,20-Oct-2023,CUST000004,Gregory Baker Finance Company,OTC,Joe Martinez Pvt Ltd Company,FixedIncome-HK,Equity,Cash Equity,Buy,372185,EUR,232.46,86517299.98,95169029.98,86517299.98,865173.0,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0005,Kondorplus,06-Jul-2023,06-Jul-2023,06-Jul-2023,Y,08-Jul-2023,CUST000005,Dylan Young Banking Ltd,OTC,Corey Jones Mutual Fund,Equity-HK,Equity,Cash Equity,Sell,485349,USD,45.75,22205827.34,22205827.34,22205827.34,222058.27,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Rebalance
EQT0006,Bacardi,11-Mar-2025,11-Mar-2025,11-Mar-2025,Y,13-Mar-2025,CUST000006,Harrison Rai Mutual Fund,CCP,Mark Diaz Brokers Ltd,FixedIncome-HK,Equity,Cash Equity,Buy,281246,USD,48.17,13546548.04,13546548.04,13546548.04,135465.48,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Active
EQT0007,Bloomberg,11-Jan-2024,11-Jan-2024,11-Jan-2024,Y,13-Jan-2024,CUST000007,Onveer Walla Banking Ltd,CCP,Carla Gray Pub Ltd Company,FixedIncome-LON,Equity,Cash Equity,Buy,492271,USD,61.09,30071834.59,30071834.59,30071834.59,150359.17,Exchange,Market,New,Y,Physical,Y,Y,BKUS,Active
EQT0008,Kondorplus,28-Nov-2025,28-Nov-2025,28-Nov-2025,Y,30-Nov-2025,CUST000008,Christine Nelson Pub Ltd Company,Broker,Amrita Bhatti Banking Ltd,Forex-HK,Equity,Cash Equity,Sell,282907,EUR,144.22,40801242.63,44881366.89,40801242.63,408012.43,Exchange,Stop,New,Y,Physical,Y,Y,BKUS,Diversify
EQT0009,Bacardi,04-Sep-2024,04-Sep-2024,04-Sep-2024,Y,06-Sep-2024,CUST000009,Ms Jill Morley Mutual Fund,OTC,Bernard Wilkins Mutual Fund,Forex-NY,Equity,Cash Equity,Buy,196476,USD,259.92,51067879.75,51067879.75,51067879.75,255339.4,OTC,Stop,New,Y,Physical,Y,Y,BKUS,Passive
EQT0010,Bacardi,11-Nov-2025,11-Nov-2025,11-Nov-2025,Y,13-Nov-2025,CUST000010,Jessica Silva Brokers Ltd,CCP,Zachary Taylor Pub Ltd Company,Equity-LON,Equity,Cash Equity,Buy,12938972,INR,175.57,2271679675.39,27260156.1,2271679675.39,22716796.75,Exchange,Limit,New,Y,Physical,Y,Y,BKUS,Active
