Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Issuer_name,Bond_type,Bond_seniority,Bond_rating,FaceValue,Price,Clean_price,coupon_type,coupon_rate,coupon_freq,day_count,Issue_date,Maturity_date,Buy_sell,Trade_quantity,Trade_currency,Gross_amount,Gross_amount_USD,Net_amount,Fees_commission,Next_coupon_date,Bond_yield,Benchmark_rate,Accrued_int,Execution_venue,Trade_status,Trade_capture_stp,Settlement_stp,Settlement_status,Settlement_type,Legal_entity,Portfolio_strategy
FIC0001,Murex,18-Jul-2025,18-Jul-2025,19-Jul-2025,Y,23-Mar-2026,CUST000001,Ronald Smith Brokers Ltd,CCP,Judith Garza Banking Ltd,FixedIncome-LON,FixedIncome,NCD,Ronith Nagarajan Banking Ltd,Soverign-StateGovt,Subordinated,AAA,1000,1136.22,1136.22,Fixed Coupon,5.1,Annual,Actual/360,2025-03-18,2031-03-18,Buy,43861,USD,49835745.42,49835745.42,49835745.42,24917.87,2026-03-18,0.004488567354913661,MIBOR,5100.0,Exchange,New,N,Y,N,Physical,BKUS,Diversify
FIC0002,Riskone,07-May-2025,07-May-2025,08-May-2025,Y,12-Mar-2026,CUST000002,Jeffrey Foster Non-Banking Fin Co,Broker,Richard Boyer Banking Ltd,Credit-NY,FixedIncome,Secured Notes,Daniel Harrell Pub Ltd Company,PublicLtd-Medium,Senior Secured,CC ,100,110.05,110.05,Fixed Coupon,4.6,Annual,Actual/365,2025-03-07,2028-03-07,Sell,49792,USD,5479609.6,5479609.6,5479609.6,5479.61,2026-03-07,0.04179918218991367,ESTR,459.99999999999994,MTF,New,Y,Y,N,Physical,BKUS,Diversify
FIC0003,Murex,10-Oct-2024,10-Oct-2024,11-Oct-2024,Y,15-Nov-2024,CUST000003,Dr Timothy Taylor Mutual Fund,CCP,Erica Yu Brokers Ltd,FixedIncome-NY,FixedIncome,Bonds,Michael Borah Banking Ltd,PublicLtd-Medium,Senior Secured,B,100,126.42,126.42,Fixed Coupon,5.6,Monthly,30/360,2024-03-10,2034-03-10,Buy,4598,USD,581279.16,581279.16,581279.16,290.64,2024-11-10,0.04429678848283499,MIBOR,560.0,Exchange,New,Y,Y,N,Physical,BKUS,Diversify
FIC0004,Riskone,13-Sep-2023,13-Sep-2023,14-Sep-2023,Y,18-Apr-2024,CUST000004,Akshay Kaur Mutual Fund,CCP,Mr Jeremy Graham Brokers Ltd,FixedIncome-HK,FixedIncome,Bonds,Hamsini Deol Non-Banking Fin Co,Quasi-Govt,Senior Secured,AAA,100,76.67,76.67,Floating Rate,5.1,Annual,30/360,2023-04-13,2032-04-13,Sell,6719,USD,515145.73,515145.73,515145.73,515.15,2024-04-13,0.06651884700665188,SOFR,509.99999999999994,Exchange,New,Y,Y,Y,Physical,BKUS,Diversify
FIC0005,BloomTOMS,01-May-2025,01-May-2025,02-May-2025,Y,06-Jun-2025,CUST000005,Stephen Wise Non-Banking Fin Co,CCP,Dipta Hayre Mutual Fund,FixedIncome-HK,FixedIncome,Secured Notes,Lori Miller Finance Company,Soverign-StateGovt,Senior Unsecured,A,1000,1174.21,1174.21,Step-up Coupon,4.2,Quarterly,30E/360,2025-03-01,2030-03-01,Sell,23898,EUR,28061270.58,30867397.64,28061270.58,14030.64,2025-06-01,0.003576872961395321,SOFR,4200.0,MTF,New,Y,Y,Y,Physical,BKUS,Passive
FIC0006,Calypso,01-Dec-2025,01-Dec-2025,02-Dec-2025,Y,06-Mar-2026,CUST000006,Roger Doherty Mutual Fund,Broker,Rishi Natt Banking Ltd,Forex-NY,FixedIncome,NCD,Russell Gardner Mutual Fund,PublicLtd-Large,Subordinated,BBB,100,127.55,127.55,Fixed Coupon,7.3,Semiannual,30/360,2025-09-01,2033-09-01,Buy,13794,USD,1759424.7,1759424.7,1759424.7,879.71,2026-03-01,0.057232457859662876,SONIA,730.0,MTF,New,N,Y,N,Physical,BKUS,Diversify
FIC0007,Riskone,16-May-2025,16-May-2025,17-May-2025,Y,21-Jun-2025,CUST000007,John Johnson Brokers Ltd,Broker,Dalaja Mital Mutual Fund,FixedIncome-LON,FixedIncome,Bonds,Hailey Mccarthy Finance Company,Quasi-Govt,Senior Unsecured,A,100,106.5,106.5,Fixed Coupon,4.8,Semiannual,Actual/Actual (ICMA),2024-06-16,2033-06-16,Buy,15943,USD,1697929.5,1697929.5,1697929.5,1697.93,2025-06-16,0.04507042253521126,SOFR,480.0,Exchange,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0008,BloomTOMS,16-Jan-2023,16-Jan-2023,17-Jan-2023,Y,21-Feb-2023,CUST000008,Robert Campos Brokers Ltd,CCP,Mr Justin Martin Pvt Ltd Company,Forex-LON,FixedIncome,Secured Notes,Amber Nixon Banking Ltd,Soverign-CG,Subordinated,AAA,1000,1171.15,1171.15,Step-up Coupon,9.2,Quarterly,Actual/360,2022-08-16,2025-08-16,Buy,46258,GBP,54175056.7,67718820.88,54175056.7,54175.06,2023-02-16,0.007855526619135036,SOFR,9200.0,Exchange,New,Y,Y,Y,Physical,BKUS,Rebalance
FIC0009,Murex,26-Aug-2025,26-Aug-2025,27-Aug-2025,Y,03-Mar-2026,CUST000009,Barbara Mendoza Brokers Ltd,CCP,Cassidy Branch Banking Ltd,FixedIncome-HK,FixedIncome,Bonds,Cindy Anderson Non-Banking Fin Co,PublicLtd-Large,Senior Secured,AAA,10000,10967.23,10967.23,Fixed Coupon,5.4,Semiannual,30/360,2024-08-26,2032-08-26,Buy,16575,USD,181781837.25,181781837.25,181781837.25,90890.92,2026-02-26,0.0004923759235467844,MIBOR,54000.0,Exchange,New,Y,Y,N,Physical,BKUS,Active
FIC0010,Murex,10-Jun-2025,10-Jun-2025,11-Jun-2025,Y,15-Jun-2026,CUST000010,Sean Burton Pub Ltd Company,CCP,Omkaar Bajwa Brokers Ltd,FixedIncome-HK,FixedIncome,Bonds,Jesse Jones Pub Ltd Company,PublicLtd-Large,Senior Unsecured,CC ,1000,1186.05,1186.05,Fixed Coupon,6.5,Annual,Actual/Actual (ISDA),2024-06-10,2033-06-10,Sell,24263,USD,28777131.15,28777131.15,28777131.15,14388.57,2026-06-10,0.005480376038109692,ESTR,6500.0,MTF,New,Y,Y,N,Physical,BKUS,Diversify
FIC0011,Calypso,05-Jul-2023,05-Jul-2023,06-Jul-2023,Y,10-Aug-2023,CUST000011,John White Finance Company,OTC,Larry Gray Mutual Fund,FixedIncome-HK,FixedIncome,Bonds,Steven Ross Banking Ltd,Soverign-StateGovt,Senior Unsecured,BBB,100,112.53,112.53,Zero Coupon,5.3,Monthly,Actual/360,2022-12-05,2032-12-05,Sell,38764,EGP,4362112.92,91604.37,4362112.92,2181.06,2023-08-05,0.047098551497378474,EURIBOR,530.0,OTC,New,Y,Y,Y,Physical,BKUS,Diversify
FIC0012,BloomTOMS,17-Apr-2023,17-Apr-2023,18-Apr-2023,Y,22-May-2023,CUST000012,Christina Lee Brokers Ltd,Broker,Felicia King Non-Banking Fin Co,FixedIncome-LON,FixedIncome,Secured Notes,Phillip Ramirez Brokers Ltd,PublicLtd-Medium,Senior Unsecured,A,10000,11576.21,11576.21,Fixed Coupon,7.6,Monthly,Actual/360,2022-06-17,2027-06-17,Buy,46729,USD,540944717.09,540944717.09,540944717.09,540944.72,2023-05-17,0.0006565188433865661,ESTR,76000.0,MTF,New,Y,Y,Y,Physical,BKUS,Passive
FIC0013,Riskone,10-Apr-2025,10-Apr-2025,11-Apr-2025,Y,15-Jul-2025,CUST000013,Mrs Rebecca Watson Non-Banking Fin Co,CCP,Ojasvi Warrior Pvt Ltd Company,FixedIncome-NY,FixedIncome,NCD,Isaiah Narayan Finance Company,PublicLtd-Medium,Senior Secured,BBB,1000,730.77,730.77,Fixed Coupon,5.6,Quarterly,Actual/360,2024-07-10,2031-07-10,Sell,47040,USD,34375420.8,34375420.8,34375420.8,17187.71,2025-07-10,0.007663149828263338,EURIBOR,5600.0,MTF,New,Y,Y,Y,Physical,BKUS,Passive
FIC0014,BloomTOMS,08-Apr-2025,08-Apr-2025,09-Apr-2025,Y,13-Mar-2026,CUST000014,Mrs Elaine Turnbull Pub Ltd Company,OTC,Darpan Sharma Finance Company,Equity-NY,FixedIncome,Bonds,Dr June Wright Finance Company,PublicLtd-Medium,Senior Secured,BBB,10000,7320.05,7320.05,Fixed Coupon,9.4,Annual,Actual/360,2025-03-08,2033-03-08,Buy,43773,CAD,320420548.65,233907000.51,320420548.65,160210.27,2026-03-08,0.0012841442339874727,MIBOR,94000.0,OTC,New,N,Y,N,Physical,BKUS,Active
