Trade_ID,Booking_system,Trade_date,Value_date,Confirmation Date,Confirmation_flg,Settlement_date,Customer_ID,Customer Name,Counterparty_Type,Counterparty,Trading_Desk_ID,Product_type,Product_subtype,Currency_pair,Base_currency,Quote_currency,Exchange_rate,Base_amount,Quote_amount,Base_amount_usd,Buy_sell,Fees_commission,Execution_venue,Trade_status,Trade_capture_stp,Settlement_stp,Settlement_status,Settlement_type,Legal_entity
FXS0001,FXGO,19-May-2023,19-May-2023,19-May-2023,Y,21-May-2023,CUST000001,George Smith Banking Ltd,Broker,Robert Freeman Mutual Fund,FixedIncome-LON,Forex,Forex-Spot,EGP/ZAR,EGP,ZAR,0.3209,260551696.01,83600716.24,5471585.62,Buy,1302758.48,EBS,New,N,Y,Y,Physical,BKUS
FXS0002,Kondorplus,24-Apr-2024,24-Apr-2024,24-Apr-2024,Y,26-Apr-2024,CUST000002,David Jackson MD Finance Company,Broker,Jason Smith Banking Ltd,FixedIncome-LON,Forex,Forex-Spot,VEF/EUR,VEF,EUR,0.0664,96389118.82,6405010.97,7711129.51,Buy,481945.59,EBS,New,Y,Y,Y,Physical,BKUS
FXS0003,Kondorplus,26-Nov-2025,26-Nov-2025,26-Nov-2025,Y,28-Nov-2025,CUST000003,Iain Frost Non-Banking Fin Co,OTC,Nathan Walker Brokers Ltd,Equity-HK,Forex,Forex-Spot,SGD/GBP,SGD,GBP,0.5497,5602742.9,3079902.82,4370139.46,Buy,56027.43,Reutuers,New,Y,Y,Y,Physical,BKUS
FXS0004,Bacardi,15-May-2024,15-May-2024,15-May-2024,Y,17-May-2024,CUST000004,Stacy Watson Mutual Fund,OTC,Brian Olson Pub Ltd Company,FixedIncome-HK,Forex,Forex-Spot,ZAR/GBP,ZAR,GBP,0.0497,61323883.93,3045185.7,3434137.5,Buy,306619.42,Reutuers,New,N,Y,Y,Physical,BKUS
FXS0005,FXGO,28-Nov-2025,28-Nov-2025,28-Nov-2025,Y,30-Nov-2025,CUST000005,Advik Lad Banking Ltd,OTC,Derrick Gordon Banking Ltd,Forex-NY,Forex,Forex-Spot,SGD/EUR,SGD,EUR,0.6169,12540300.4,7735870.41,9781434.31,Buy,62701.5,EBS,New,Y,Y,Y,Physical,BKUS
FXS0006,Kondorplus,19-Nov-2025,19-Nov-2025,19-Nov-2025,Y,21-Nov-2025,CUST000006,Thomas Morgan Finance Company,OTC,Wanda Fields Pvt Ltd Company,Forex-NY,Forex,Forex-Spot,EGP/EUR,EGP,EUR,0.0219,253190682.06,5533551.7,5317004.32,Sell,1265953.41,Bloomberg,New,N,Y,Y,Physical,BKUS
FXS0007,FXGO,13-Aug-2024,13-Aug-2024,13-Aug-2024,Y,15-Aug-2024,CUST000007,Tracy Gregory Pvt Ltd Company,Broker,Grant Camacho Non-Banking Fin Co,FixedIncome-NY,Forex,Forex-Spot,EGP/JPY,EGP,JPY,3.146,206050017.96,648229445.85,4327050.38,Sell,1030250.09,EBS,New,Y,Y,Y,Physical,BKUS
FXS0008,FXGO,08-Apr-2024,08-Apr-2024,08-Apr-2024,Y,10-Apr-2024,CUST000008,Ryan Underwood Mutual Fund,Broker,Angelica Juarez Banking Ltd,Credit-HK,Forex,Forex-Spot,CNY/ZAR,CNY,ZAR,2.5687,67190928.35,172591526.7,9406729.97,Sell,671909.28,Bloomberg,New,Y,Y,Y,Physical,BKUS
FXS0009,Bacardi,06-Mar-2025,06-Mar-2025,06-Mar-2025,Y,08-Mar-2025,CUST000009,Harry Heath-Dickinson Non-Banking Fin Co,Broker,Dr Shannon Williams Brokers Ltd,Credit-HK,Forex,Forex-Spot,SGD/ZAR,SGD,ZAR,13.5028,2266534.92,30604459.06,1767897.24,Sell,22665.35,EBS,New,N,Y,Y,Physical,BKUS
FXS0010,Bacardi,10-Aug-2023,10-Aug-2023,10-Aug-2023,Y,12-Aug-2023,CUST000010,Lynda Taylor Mutual Fund,Broker,Turvi Pradhan Finance Company,Forex-HK,Forex,Forex-Spot,EGP/GBP,EGP,GBP,0.015,388968643.83,5843026.34,8168341.52,Sell,3889686.44,EBS,New,Y,Y,Y,Physical,BKUS
FXS0011,Bacardi,26-Dec-2024,26-Dec-2024,26-Dec-2024,Y,28-Dec-2024,CUST000011,James Ramirez Finance Company,Broker,Anmol Mangat Finance Company,Equity-LON,Forex,Forex-Spot,CNY/INR,CNY,INR,13.0126,41655617.0,542049555.22,5831786.38,Sell,416556.17,Reutuers,Amended,Y,Y,Y,Physical,BKUS
