Call_ID,Call_source_system,Agreement_id,Margin_type,Call_direction,Call_amount,Call_result,Call_result_reason,Call_date
CALL0001,Acadia,CSA_CP0001,VariationMargin,CallMade,2669235.88,Agreed,NA,09-Jun-2023
CALL0002,Acadia,CSA_CP0002,InitialMargin,CallReceived,6428160.44,Agreed,NA,03-Nov-2025
CALL0003,Acadia,CSA_CP0003,InitialMargin,CallMade,15053786.97,Agreed,NA,06-Nov-2025
CALL0004,Acadia,CSA_CP0004,VariationMargin,CallReceived,26138831.98,Challenged,Timing differnce,21-Nov-2025
CALL0005,Acadia,CSA_CP0005,VariationMargin,CallReceived,13840898.0,Challenged,Timing differnce,29-Nov-2024
CALL0006,Acadia,CSA_CP0006,VariationMargin,CallReceived,2512264.94,Agreed,NA,05-Dec-2025
CALL0007,Acadia,CSA_CP0007,InitialMargin,CallMade,3346492.42,Agreed,NA,25-Nov-2025
CALL0008,Acadia,CSA_CP0008,VariationMargin,CallMade,2703515.11,Agreed,NA,25-Nov-2025
CALL0009,Acadia,CSA_CP0009,NetCashMargin,CallReceived,10508018.32,Pending,NA,05-Nov-2025
CALL0010,Acadia,CSA_CP0010,VariationMargin,CallReceived,33976478.08,Agreed,NA,20-Nov-2025
CALL0011,Acadia,CSA_CP0011,VariationMargin,CallMade,7015604.31,Agreed,NA,01-Dec-2025
CALL0012,Acadia,CSA_CP0012,InitialMargin,CallMade,4885323.09,Agreed,NA,20-Nov-2025
CALL0013,Acadia,CSA_CP0013,InitialMargin,CallMade,1904332.68,Agreed,NA,20-Nov-2025
CALL0014,Acadia,CSA_CP0014,VariationMargin,CallReceived,8614010.86,Agreed,NA,07-Nov-2025
CALL0015,Acadia,CSA_CP0015,InitialMargin,CallReceived,3289167.41,Agreed,NA,19-Nov-2025
CALL0016,Acadia,CSA_CP0016,VariationMargin,CallMade,3689744.67,Disputed,Timing differnce,06-Nov-2025
CALL0017,Acadia,CSA_CP0017,VariationMargin,CallReceived,14946549.5,Agreed,NA,04-Dec-2025
CALL0018,Acadia,CSA_CP0018,InitialMargin,CallReceived,3442696.08,Agreed,NA,12-Nov-2025
